飞书路径	类型	Token	名称	状态
云空间/莱讯科技/供应商管理/合作企业/技新科技/蓝牙定位方案.pdf	file	boxcnOTe4zj19psOwY3aJI7JwXb	蓝牙定位方案.pdf	❌ 未迁移
云空间/莱讯科技/供应商管理/供应商管理	bitable	bascnOU6UQg6ZGazkJetehifdvD	供应商管理	❌ 未迁移
云空间/莱讯科技/供应商管理/供应商合同管理	bitable	bascn5TrgUfpMjCNWpATQLvZXZc	供应商合同管理	❌ 未迁移
云空间/莱讯科技/招聘管理/招聘管理	bitable	bascnnKqNzSDSYHEoLOqiwwRnib	招聘管理	❌ 未迁移
云空间/莱讯科技/API.docx	file	EmmnbY7kboTZBMxx5pncq5cUnXe	API.docx	❌ 未迁移
云空间/莱讯科技/画板文档	docx	RTWGd8ENYo9JSOxqoiRcEH3mnVf	画板文档	❌ 未迁移
云空间/王宗光的个人文档/交接文档/交接文档	docx	UOvmd7dz4oFkXVxuq3OczvtrnHf	交接文档	✅ 已迁移(md)
云空间/王宗光的个人文档/工作总结/2024年度工作总结	docx	AQOkd0UXsorJlKxxxy6cF5tHnrf	2024年度工作总结	❌ 未迁移
云空间/王宗光的个人文档/工作总结/2024年中工作总结	docx	GXTXdswRto7rdmxX2PScgoXznJm	2024年中工作总结	❌ 未迁移
云空间/王宗光的个人文档/工作总结/2023年度工作总结	docx	LfZodzkibo0QjMxcoMYcEtkynZc	2023年度工作总结	❌ 未迁移
云空间/王宗光的个人文档/工作总结/2023年度工作总结	mindnote	GT7PbnGvPmY5ccnWDI8c51v9nqb	2023年度工作总结	❌ 未迁移
云空间/王宗光的个人文档/项目资料/嘉盛工厂/1-2502211H23Q59	docx	KdFmdGbaBodNKHxstx6cbhzWn3g	1-2502211H23Q59	❌ 未迁移
云空间/王宗光的个人文档/项目资料/嘉盛工厂/工作记录	docx	LkFQdJGmBoBeM8xqlPZcK0EWnbe	工作记录	❌ 未迁移
云空间/王宗光的个人文档/项目资料/嘉盛工厂/蓝牙定位平台接口文档V1.61_250409.pdf	file	TwdAbVtybo6bYyxamOhcemubnTf	蓝牙定位平台接口文档V1.61_250409.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/嘉盛工厂/需求说明书.docx	file	N4HubB8QNoU07nxIX7Fc16XWnde	需求说明书.docx	❌ 未迁移
云空间/王宗光的个人文档/项目资料/嘉盛工厂/嘉盛工厂项目进度计划表 副本	sheet	EswasJvZrhia4ftJQVrc9bX8nBc	嘉盛工厂项目进度计划表 副本	❌ 未迁移
云空间/王宗光的个人文档/项目资料/嘉盛工厂/JT808_部标精简协议(2021-11-24更改).pdf	file	N6v1bgyQcon6ahx1jPyc9U3NnSc	JT808_部标精简协议(2021-11-24更改).pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/嘉盛工厂/808协议集成 & 指令下发.txt	file	BkaIbNoeSo2Nb7xZ1wQckNYRn1b	808协议集成 & 指令下发.txt	❌ 未迁移
云空间/王宗光的个人文档/项目资料/赛力斯/数字化循环载具管理平台统一接口协议V1.4	docx	Af4wdLHdhoaaeJxzscucmKyQnEf	数字化循环载具管理平台统一接口协议V1.4	❌ 未迁移
云空间/王宗光的个人文档/项目资料/赛力斯/设备相关资料	docx	Vw2ZdVXLloMFarxu7BscvzlxnKb	设备相关资料	❌ 未迁移
云空间/王宗光的个人文档/项目资料/博实结/智能硬件定位服务（2024-07-12）	docx	Z2DKdMZxBoDiiKxyXtUch3d6nFc	智能硬件定位服务（2024-07-12）	❌ 未迁移
云空间/王宗光的个人文档/项目资料/博实结/EG10E部标协议	docx	EV9gdgpxdoguXbxvhTjc8rVSn2d	EG10E部标协议	❌ 未迁移
云空间/王宗光的个人文档/项目资料/博实结/EG10E产品使用说明书(4)	docx	GuqpdulGkoBsZUxm10pc1PwWnld	EG10E产品使用说明书(4)	❌ 未迁移
云空间/王宗光的个人文档/项目资料/博实结/联调记录	docx	MzxSduc4soHPCZxY1aTcta0Dnfe	联调记录	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/1_认证集成_OAuth2.0认证/中国石化统一身份OAuth2.0_密码模式认证集成指南v2.8.pdf	file	QfpBb88rNoiezKxgieQcMXctncf	中国石化统一身份OAuth2.0_密码模式认证集成指南v2.8.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/0_网站截图/https___auth.uat.siam.sinopec.com_help_FAQ.html.png	file	AvPObjdPFoJpjdxeAsrcluWinCf	https___auth.uat.siam.sinopec.com_help_FAQ.html.png	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/0_网站截图/统一身份集成帮助网站_在线加密.png	file	NRlfbFqTAoeuYCxGtaKcqLuMnQb	统一身份集成帮助网站_在线加密.png	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/0_网站截图/统一身份集成帮助网站_指南与示例.png	file	Ra9cbwrsXon1nFx2Gz6cuIJXnTr	统一身份集成帮助网站_指南与示例.png	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/0_网站截图/统一身份集成帮助网站_统一身份介绍.png	file	EZanb9Tizoky6Ex5V1JcUoTznj8	统一身份集成帮助网站_统一身份介绍.png	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/0_网站截图/统一身份集成帮助网站_集成标准.png	file	BAVwbRhpkoUC40xUugOc9xC4nwy	统一身份集成帮助网站_集成标准.png	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/0_网站截图/统一身份集成帮助网站_模版下载.png	file	QSD8bLkAgo6lHHxinsAcZlTknGg	统一身份集成帮助网站_模版下载.png	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/0_网站截图/统一身份集成帮助网站_测试相关.png	file	C2pxbOq2RoqLsVxKEfgcrmllntb	统一身份集成帮助网站_测试相关.png	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/2_账号同步_应用管理员操作手册/中国石化统一身份管理系统应用账号管理员操作手册v1.1.pdf	file	TFpVb6pj1oVL7Mxno5OcyNjFnOg	中国石化统一身份管理系统应用账号管理员操作手册v1.1.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/2_账号同步_.Net组件安装/中国石化统一身份消息订阅.NET版组件安装部署指南v4.3.pdf	file	M8eDbzCOjof23DxiroQccvWZnjI	中国石化统一身份消息订阅.NET版组件安装部署指南v4.3.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/4_测试相关/Test_User.xlsx	file	GplSbq06woLigSxRWbxcI3gRnph	Test_User.xlsx	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/4_测试相关/应用系统联调测试报告-模板v5.docx	file	SlFHbIfCxoRaXaxZqxHcoQwtnhf	应用系统联调测试报告-模板v5.docx	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/1_认证集成_JWT认证/中国石化统一身份JWT认证集成指南v3.1.pdf	file	DClEbe3Z2ownR7xZ1T7cGAeknbc	中国石化统一身份JWT认证集成指南v3.1.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/1_认证集成_JWT认证/参考网站.txt	file	TfkxbD0dHoNNtSxzt7tcxPXFnBf	参考网站.txt	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/1_认证集成_SAML认证.Net版/SPForDotNet2.0-4.5-V3.7.rar	file	F269b4CXHo2r2axKkClcAEQ3nNE	SPForDotNet2.0-4.5-V3.7.rar	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/1_认证集成_SAML认证.Net版/中国石化统一身份身份认证.NET版集成指南V4.6.pdf	file	L4mRbZ8aWo8XZVxlNOhcsj0cnlc	中国石化统一身份身份认证.NET版集成指南V4.6.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/2_账号同步_.Net/中国石化统一身份消息订阅.NET版集成指南v5.4.pdf	file	IvgCbvRSloMe2vx8cLBcelqgnPe	中国石化统一身份消息订阅.NET版集成指南v5.4.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/2_账号同步_.Net/SMQForDotNet-V4.3.rar	file	Zmuybbw7kooiNEx0zWScKd1Bnge	SMQForDotNet-V4.3.rar	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/1_认证集成_SAML认证Java版/中国石化统一身份身份认证JAVA版集成指南v4.7.pdf	file	XfSTbbHtIovsUsx2QB6cr44Snoc	中国石化统一身份身份认证JAVA版集成指南v4.7.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/1_认证集成_SAML认证Java版/SPForJava1.5-V3.8.rar	file	CbXsbL4VdoFVlRx26HNcqSz3n5c	SPForJava1.5-V3.8.rar	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/3_模版下载/中石化用户统一身份管理系统-应用变更申请表.docx	file	SAbIbSIcqob1hUxOe2ec5JKLnTc	中石化用户统一身份管理系统-应用变更申请表.docx	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/3_模版下载/应用注册申请表.xlsx	file	STQ2bZB6oorZiLxcGcpcKY3Tnur	应用注册申请表.xlsx	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/3_模版下载/账号梳理记录表.docx	file	JGhkbHIKKowYZCx3h3HcrlSnnNd	账号梳理记录表.docx	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/2_账号同步_Java/SMQForJava-V3.4.rar	file	Fk0nbXRUjodmz5x96Eic7Wcpngd	SMQForJava-V3.4.rar	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/2_账号同步_Java/中国石化统一身份消息订阅JAVA版集成指南v4.5.pdf	file	E0IUb6PTaodawNxkGcLc5eRUn0g	中国石化统一身份消息订阅JAVA版集成指南v4.5.pdf	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例/.DS_Store	file	P7v8b0VetoLZVhxUpEvcqnWKnZf	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/项目资料/洛阳化工/uat/sp-metadata.xml	file	RlI9bT7y2oL2sWxqYmxcmrXmnHb	sp-metadata.xml	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/uat/idp-metadata-all.xml	file	Itcxbv5myoP8sCxdQYicdSWwnac	idp-metadata-all.xml	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/SPForJava1.5-V3.8/SPForJava1.5-V3.8/sp.war	file	MiZzbZDUDouxuXxv8cgc6HfFnKg	sp.war	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/SPForJava1.5-V3.8/SPForJava1.5-V3.8/.DS_Store	file	NO4QbepugoAcrhxjs7Zc1xEWnUb	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/项目资料/洛阳化工/SPForJava1.5-V3.8/.DS_Store	file	HMs3bX3fcoSYfExTz74cHexznsb	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/项目资料/洛阳化工/sp.log	file	KmFybi7SjoT3HtxdTPvcgqyxnS6	sp.log	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/应用系统联调测试报告-模板v5(1).docx	file	ONO6blCwno8gjoxapiJcMv1Jnkf	应用系统联调测试报告-模板v5(1).docx	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/统一身份认证集成指南与示例.zip	file	RerobPoJRo6ptvx5dzlc1sbYnph	统一身份认证集成指南与示例.zip	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/spzx.lysh.sinopec.com.jks	file	U2x5bVcNtocBGgxXaWTcuL8rn7c	spzx.lysh.sinopec.com.jks	❌ 未迁移
云空间/王宗光的个人文档/项目资料/洛阳化工/用户认证sp启动报错日志2025-3-26.log	file	SVDCb7JzDo7ZAuxIE4lc5899nrb	用户认证sp启动报错日志2025-3-26.log	❌ 未迁移
云空间/王宗光的个人文档/项目资料/广州机场App登录验证码	docx	ZxChdrcWCofAbxxzQEIcRopQnPg	广州机场App登录验证码	❌ 未迁移
云空间/王宗光的个人文档/项目资料/RTK报文分析.log	file	CRlHbAkTCoxIcqxvVVMc8Ii3nPf	RTK报文分析.log	❌ 未迁移
云空间/王宗光的个人文档/定制化项目/新太项目/NFC读卡器接口配置文档	docx	BYIudCklRoDYMixFu6Xc9HA9n1d	NFC读卡器接口配置文档	❌ 未迁移
云空间/王宗光的个人文档/定制化项目/洛阳化工/洛阳化工（定制功能）系统设计	docx	QbSTdG086oR3a6xOlgAcQNqNnEj	洛阳化工（定制功能）系统设计	❌ 未迁移
云空间/王宗光的个人文档/平台功能迭代/Zone + tile38功能实现备忘	docx	QI0SdzgAsol9SKxEh2wcWOkJnZc	Zone + tile38功能实现备忘	❌ 未迁移
云空间/王宗光的个人文档/后端架构/LBS系统梳理	docx	B6SgdFSRaoPqd7xQoTOcZGMAncd	LBS系统梳理	❌ 未迁移
云空间/王宗光的个人文档/后端架构/position重构	mindnote	YbkQbIQOsmcou8nM7aTcupE8n0d	position重构	❌ 未迁移
云空间/王宗光的个人文档/后端架构/RS-LBS后端平台架构重构方案(v2.0.0)	docx	WctjdFkvSoAIJ8x3t1scyrXVnXc	RS-LBS后端平台架构重构方案(v2.0.0)	❌ 未迁移
云空间/王宗光的个人文档/后端架构/RS-MID中间件平台架构方案(v1.0.0)	docx	PYwpd0PL3owk84xKLsNcQCy8nmh	RS-MID中间件平台架构方案(v1.0.0)	❌ 未迁移
云空间/王宗光的个人文档/问题处理记录/工作记录	docx	LHvPda1imoHU2Jxj4SncmovqnRf	工作记录	❌ 未迁移
云空间/王宗光的个人文档/测试/压测/230环境	docx	MUo8dYBWXoBwpBxdHfTcV2UJnag	230环境	❌ 未迁移
云空间/王宗光的个人文档/测试/压测/压测备忘录	docx	TEUJd4UxnocvIIxgsy3cA58qn9g	压测备忘录	❌ 未迁移
云空间/王宗光的个人文档/测试/压测/标签数量压测数据统计_3.0	sheet	BuXPsjDGhhwrAKtNlX8c8vttnPx	标签数量压测数据统计_3.0	❌ 未迁移
云空间/王宗光的个人文档/测试/压测/标签数量压测数据统计_2.0	sheet	P6SJsvzAOhu9RvtlnQtc3P4snkf	标签数量压测数据统计_2.0	❌ 未迁移
云空间/王宗光的个人文档/测试/压测/标签数量压测数据统计_1.0	sheet	QGicsCeb2hEFrAtSqK6cfsBkn0d	标签数量压测数据统计_1.0	❌ 未迁移
云空间/王宗光的个人文档/测试/路网（c++）/获取规划路线接口性能测试	sheet	QaM9sFjaihS6dotCVfgcEk48n2g	获取规划路线接口性能测试	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世二维码/小程序入口二维码.png	file	E4jGbhFI9oWemJxXzoacbWGSnEf	小程序入口二维码.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世二维码/欧洲臻享产品二维码.png	file	IYj4boipbo2fU1xPX1Fch4KBned	欧洲臻享产品二维码.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世二维码/G7100W产品二维码.png	file	EyrsbY9sUo2uFVx7r2Rc4Nzrnsg	G7100W产品二维码.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世二维码/PAD登录二维码.png	file	O4mQb3KpRodfUcxYOFCcELo2nmh	PAD登录二维码.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世二维码/.DS_Store	file	FmmybW4gVontMsxMyXScxGxZnnh	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世二维码/欧洲之星产品二维码.png	file	XxB6bl1zqok6yKx2sMDcspMSn4g	欧洲之星产品二维码.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图 原版大小/暖气片_黄/.DS_Store	file	QwV0bKGxTour99xSkiIcq9FNnnh	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图 原版大小/暖气片_红/.DS_Store	file	GftobGPDOo2US8xazUTculsDncb	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图 原版大小/热能_红/.DS_Store	file	DiTtbfKF9obECRx16Bfcp4ADnRf	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图 原版大小/节能_黄/.DS_Store	file	JvYWbn1cgoHC3ixMuvVckQOjnfb	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图 原版大小/.DS_Store	file	WOz5bp5EAoMb1Mx3K2OcFKZsned	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/暖气片_黄/.DS_Store	file	CGVSb2oBOonxDYx8nFOcUrLEnEc	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/暖气片_红/.DS_Store	file	DvfRbxnBToYc0hx76gtcDiAknxd	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/热能_红/.DS_Store	file	FoiEb9oNmodDmIxkVdycAPb5nsf	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/节能_黄/.DS_Store	file	KsqRbNJnGobGzbx8gvFcPyC7nVb	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/花洒51234/1.png	file	H5JobipgDowai6xmdO7c6AE6nfg	1.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/花洒51234/3.png	file	TVC1b6nSxo7AGgxzb89c7Houn7u	3.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/花洒51234/5.png	file	S3gzbhpJPoiHlfxHNoOc7CCanFe	5.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/花洒51234/2.png	file	NLMJb2Ikaoa17fxYQbrc6QV1nyc	2.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/花洒51234/4.png	file	M4aTbsxjDowDHQxvUvDcJuk5ntT	4.png	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/热力图/.DS_Store	file	QNS1b7vRroSTvmx6FKDcVZnbnog	.DS_Store	✅ 已迁移(文件)
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世小程序会议2024-02-01 15.mp4	file	WVL0bXHDGozauNxk3kucjIjXnce	博世小程序会议2024-02-01 15.mp4	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世小程序会议2024-01-22 13.39.58.mov	file	GWY1b7R8zoHJelxAed6cJRHdnuf	博世小程序会议2024-01-22 13.39.58.mov	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世小程序会议2024-01-29 13.38.08.mov	file	GhIFb4VzooERT1xIj0fcRhVDn5H	博世小程序会议2024-01-29 13.38.08.mov	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/博世UX设计终稿12:29 .mov	file	CUkJbXJAIo0pjsxhzJXcg7nenld	博世UX设计终稿12:29 .mov	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/UX design briefing of POC小程序录制2023-12-21.mov	file	GBpkbxtWRoiSMNxJLGwcVAKgnyc	UX design briefing of POC小程序录制2023-12-21.mov	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/莱讯科技（苏州）与博世（中国）家电展厅会议纪要	docx	FXjzdUWweozVIAxCLpUcspXXnpb	莱讯科技（苏州）与博世（中国）家电展厅会议纪要	⏳ 会议纪要
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/VID_20230818_101722.mp4	file	YQQrbb6QwodRFyxN4jfctG4GnBc	VID_20230818_101722.mp4	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/IMG_20230818_130015.jpg	file	GPZZbCzMooFD1RxChTyc9RNGnpf	IMG_20230818_130015.jpg	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/IMG_20230818_125957.jpg	file	HhYebtfFBolOMgxIGh6cHGShn4d	IMG_20230818_125957.jpg	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/20230818 博世会议/IMG_20230818_125941.jpg	file	A4R3b68HZoY1j9x37kYcD4OBn8c	IMG_20230818_125941.jpg	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/报价单/莱讯智能定位安全管理系统报价-20220422	bitable	P1X5bHcrtaw23vsIHhMcb3YGnue	莱讯智能定位安全管理系统报价-20220422	❌ 未迁移
云空间/王宗光的个人文档/会议纪要/2023-7-10 来邦沟通会	mindnote	HjIQbXkkTmr5zfnfgsCcck71n4c	2023-7-10 来邦沟通会	❌ 未迁移
云空间/王宗光的个人文档/智能纪要：刷新配置规则变更讨论会议 2025年9月25日	docx	XHG9dLsmDoBkJxx4bkJcIABInbD	智能纪要：刷新配置规则变更讨论会议 2025年9月25日	⏳ 会议纪要
云空间/王宗光的个人文档/文字记录：刷新配置规则变更讨论会议 2025年9月25日	docx	GUjJdm0rboypogxtgcacRhAEn7e	文字记录：刷新配置规则变更讨论会议 2025年9月25日	⏳ 会议纪要
云空间/王宗光的个人文档/近期会议速递｜要点概览 2025年9月22日	docx	QBT7d9e5PoMLKlx5DP8c23Agne1	近期会议速递｜要点概览 2025年9月22日	⏳ 会议纪要
云空间/王宗光的个人文档/月度纪要小结｜8月25日 - 9月19日	docx	BlTTdQJKAoia6Kxae4Jc2avHnKe	月度纪要小结｜8月25日 - 9月19日	⏳ 会议纪要
云空间/王宗光的个人文档/智能纪要：申库、测试及登录存货问题讨论 2025年9月17日	docx	HNAVdtRgzo4xLFxUjO0c3qi9nJc	智能纪要：申库、测试及登录存货问题讨论 2025年9月17日	⏳ 会议纪要
云空间/王宗光的个人文档/文字记录：申库、测试及登录存货问题讨论 2025年9月17日	docx	NrtBdN4sQo4P0cxB0RJc21Ebnse	文字记录：申库、测试及登录存货问题讨论 2025年9月17日	⏳ 会议纪要
云空间/王宗光的个人文档/智能纪要：scommon获取及分支合并问题讨论 2025年9月16日	docx	LCdQdpAf7ozPMtxQUthcZqTKnLh	智能纪要：scommon获取及分支合并问题讨论 2025年9月16日	⏳ 会议纪要
云空间/王宗光的个人文档/文字记录：scommon获取及分支合并问题讨论 2025年9月16日	docx	DJOWdV7t5o2Mjdxx8ZacVCh1n3d	文字记录：scommon获取及分支合并问题讨论 2025年9月16日	⏳ 会议纪要
云空间/王宗光的个人文档/工作周报	bitable	RIHubtFOhadg4TsFWJoch9iEnuh	工作周报	✅ 已迁移(文件)
云空间/王宗光的个人文档/近期会议速递｜要点概览 2025年8月25日	docx	JPvNdiIsbo1dmcxRiWLcdD6VnIh	近期会议速递｜要点概览 2025年8月25日	⏳ 会议纪要
云空间/王宗光的个人文档/智能纪要：办公室 CLE 数据配置及墨水屏问题会议 2025年8月19日	docx	XAwMd4UStoorpRxKG3scYBLbnQe	智能纪要：办公室 CLE 数据配置及墨水屏问题会议 2025年8月19日	⏳ 会议纪要
云空间/王宗光的个人文档/文字记录：办公室 CLE 数据配置及墨水屏问题会议 2025年8月19日	docx	QG3ld8j2joWsEDxVOFocVLrAnOg	文字记录：办公室 CLE 数据配置及墨水屏问题会议 2025年8月19日	⏳ 会议纪要
云空间/王宗光的个人文档/月度纪要小结（播客版）｜5月26日 - 6月20日	docx	Eoy1dYW8oolqoJxhve3cn5bgncS	月度纪要小结（播客版）｜5月26日 - 6月20日	⏳ 会议纪要
云空间/王宗光的个人文档/近期会议速递｜要点概览  2025年6月9日	docx	RcHbdD8uOoUWj8xecNTcAtFjnmb	近期会议速递｜要点概览  2025年6月9日	⏳ 会议纪要
云空间/王宗光的个人文档/智能纪要：多方面业务问题及解决方案探讨会 2025年6月3日	docx	NPkFdqGfUo1Bf2xEQOGclc7anMh	智能纪要：多方面业务问题及解决方案探讨会 2025年6月3日	⏳ 会议纪要
云空间/王宗光的个人文档/文字记录：多方面业务问题及解决方案探讨会 2025年6月3日	docx	Jtm6dfrULo7SNYxWZZ9cwLULnvd	文字记录：多方面业务问题及解决方案探讨会 2025年6月3日	⏳ 会议纪要
云空间/王宗光的个人文档/近期会议速递｜要点概览  2025年6月2日	docx	TC2Od2W9Ko56Wnx5QQkcDqLlnlg	近期会议速递｜要点概览  2025年6月2日	⏳ 会议纪要
云空间/王宗光的个人文档/智能纪要：平台重启及相关技术问题研讨 2025年5月31日	docx	LDm7dDpHfoC4DBx6Vthcwqkrn4c	智能纪要：平台重启及相关技术问题研讨 2025年5月31日	⏳ 会议纪要
云空间/王宗光的个人文档/文字记录：平台重启及相关技术问题研讨 2025年5月31日	docx	LRjhdZLUeoMIyKxAoIyciR1qneg	文字记录：平台重启及相关技术问题研讨 2025年5月31日	⏳ 会议纪要
云空间/王宗光的个人文档/E-Ink平台安装和使用手册	docx	BTKgdqfbXowNV5x0DSfcfafpncY	E-Ink平台安装和使用手册	✅ 已迁移(md)
云空间/王宗光的个人文档/智慧工厂电子标牌管理系统软件v1.0.0-json格式	docx	TYe7doOyNovyfLxfXOScJ2vyngf	智慧工厂电子标牌管理系统软件v1.0.0-json格式	✅ 已迁移(md)
云空间/王宗光的个人文档/近期会议速递｜要点概览  2025年5月12日	docx	CvpwdYui0oKufcxNcFzc4IDVnFe	近期会议速递｜要点概览  2025年5月12日	⏳ 会议纪要
云空间/王宗光的个人文档/近期会议速递｜要点概览  2025年4月21日	docx	VUzAdTmbYowa23xouqCcGhiyn8c	近期会议速递｜要点概览  2025年4月21日	⏳ 会议纪要
云空间/王宗光的个人文档/近期会议速递｜要点概览  2025年4月14日	docx	Zc4odoDyzo1REVxTrrUcl7gGnPy	近期会议速递｜要点概览  2025年4月14日	⏳ 会议纪要
云空间/王宗光的个人文档/智能纪要：项目服务、权限及工作进展会议 2025年4月11日	docx	LKSodmV6loX04TxtDTNcEqmcnLe	智能纪要：项目服务、权限及工作进展会议 2025年4月11日	⏳ 会议纪要
云空间/王宗光的个人文档/文字记录：项目服务、权限及工作进展会议 2025年4月11日	docx	KoC5dKi6koHwTfx8Dkbcgrlon5g	文字记录：项目服务、权限及工作进展会议 2025年4月11日	⏳ 会议纪要
云空间/王宗光的个人文档/近期会议速递｜要点概览  2025年4月7日	docx	QLdTdlduEoRsZkxNEblc0rlynZf	近期会议速递｜要点概览  2025年4月7日	⏳ 会议纪要
云空间/王宗光的个人文档/近期会议速递｜要点概览  2025年3月17日	docx	UV45dVypYoiEOFx9AYXcAGFDnne	近期会议速递｜要点概览  2025年3月17日	⏳ 会议纪要
云空间/王宗光的个人文档/近期会议速递｜要点概览  2025年3月10日	docx	JHJ5d6S5QopfyHxPUnwcKyLlnSe	近期会议速递｜要点概览  2025年3月10日	⏳ 会议纪要
